Candidate,Year,Party,IowaPredicted,IowaActual,WonIowa,NationalIowa,NHPred,NHAct,WonNH,NationalNH,IowaDiff,NHDiff,NatDiff
Rick Perry,2012,R,11.5,10.3,0,6.4,1,0.7,0,5.6,-1.2,-0.3,-0.8
Jon Huntsman,2012,R,2.3,0.6,0,2,14.5,16.9,0,2.8,-1.7,2.4,0.8
Newt Gingrich,2012,R,13.7,13.3,0,27.2,10.3,9.4,0,17,-0.4,-0.9,-10.2
Rick Santorum,2012,R,16.3,24.6,1,4.2,11.5,9.4,0,16.2,8.3,-2.1,12
Mitt Romney,2012,R,22.8,24.5,0,24.8,37.5,39.3,1,27,1.7,1.8,2.2
Ron Paul,2012,R,21.5,21.4,0,12.6,17.5,22.9,0,12.4,-0.1,5.4,-0.2
Barack Obama,2008,D,30.8,37.5,1,24,38.3,36.4,0,29.3,6.7,-1.9,5.3
Hillary Clinton,2008,D,29.2,29.4,0,45.2,30,39,1,37,0.2,9,-8.2
John Edwards,2008,D,26,29.7,0,14,18.3,16.9,0,18,3.7,-1.4,4
Bill Richardson,2008,D,5.2,2.1,0,1,5.7,4.6,0,0,-3.1,-1.1,-1
Mike Huckabee,2008,R,29.7,34.4,1,17,12.2,11.2,0,21,4.7,-1,4
John McCain,2008,R,11.8,13,0,17.2,31.8,37,0,19.7,1.2,5.2,2.5
Mitt Romney,2008,R,26.7,25.2,0,11,28.2,31.5,1,9,-1.5,3.3,-2
Fed Thompson,2008,R,11.7,13.4,0,10,2.2,1.2,0,12,1.7,-1,2
Ron Paul,2008,R,7.3,9.9,0,4.2,8.2,7.7,0,4,2.6,-0.5,-0.2
Rudy Giuliani,2008,R,6,3.4,0,20,9.3,8.5,0,20,-2.6,-0.8,0
John Kerry,2004,D,26,37.6,1,9,35,38.4,1,7,11.6,3.4,-2
John Edwards,2004,D,23,31.8,0,6,15,12.1,0,5,8.8,-2.9,-1
Howard Dean,2004,D,20,18,0,25,25,26.3,0,24,-2,1.3,-1
Dennis Kucinich,2004,D,3,1.3,0,1,1,1.4,0,2,-1.7,0.4,1
Wesley Clark,2004,D,2,0,0,19,13,12.4,0,19,-2,-0.6,0
Joeseph Lieberman,2004,D,1,0,0,8,6,8.6,0,12,-1,2.6,4
Al Gore,2000,D,56,63.4,1,60,52,45.6,0,67,7.4,-6.4,7
Bill Bradley,2000,D,28,34.9,0,28,43,49.73,1,22,6.9,6.73,-6
George W. Bush,2000,R,43,41,1,63,36,30.4,0,65,-2,-5.6,2
John McCain,2000,R,5,9.5,0,19,40,48.5,1,15,4.5,8.5,-4
Steve Forbes,2000,R,20,36.2,0,6,12,12.7,0,7,16.2,0.7,1
Alan Keyes,2000,R,14,9.5,0,1,7,6.4,0,4,-4.5,-0.6,3
Gary Bauer,2000,R,9,4.8,0,2,1,0.7,0,2,-4.2,-0.3,0
Orin Hatch,2000,R,1,1,0,1,1,0.1,0,0,0,-0.9,-1
